serum,potency
DENV4/THAILAND/2000/02021/00,2.4378653612511063
DENV1/THAILAND/2001/04774/01,2.293767920174029
DENV2/THAILAND/2006/02337/06,2.2672143498972472
DENV2/THAILAND/2007/00511/07,2.0868680943457445
DENV2/THAILAND/2001/03244/01,2.084248473726116
DENV1/THAILAND/2013/00485/13,1.9245630973712091
DENV4/THAILAND/2009/01559/09,1.8893423791661355
DENV4/THAILAND/1999/05538/99,1.8709439664800371
DENV2/THAILAND/2004/00617/04,1.852366314680932
DENV1/THAILAND/2014/00725/14,1.8181818674266153
DENV1/THAILAND/2010/01327/10,1.8165360762270097
DENV2/THAILAND/2012/01113/12,1.790865833273456
DENV1/THAILAND/1998/06810/98,1.7804587837533035
DENV1/THAILAND/2006/02340/06,1.7448924644781811
DENV1/THAILAND/1999/03739/99,1.736475219899322
DENV1/THAILAND/2011/01450/11,1.7292733145223678
DENV4/THAILAND/2011/00257/11,1.6954391311162211
DENV1/THAILAND/2011/01392/11,1.692561441733831
DENV1/THAILAND/2010/00792/10,1.6620372920991837
DENV4/THAILAND/2014/00214/14,1.6529505591211782
DENV1/THAILAND/2010/01518/10,1.6446462956151067
DENV3/THAILAND/1995/00780/95,1.643663135835961
DENV2/THAILAND/1994/01414/94,1.6290373163185772
DENV2/THAILAND/2002/02934/02,1.6264116689218218
DENV1/THAILAND/2013/00343/13,1.616577703715743
DENV1/THAILAND/2006/01932/06,1.5949511038969713
DENV4/THAILAND/2002/01222/02,1.594498597847927
DENV2/THAILAND/2000/05855/00,1.5911551330857077
DENV1/THAILAND/2011/00577/11,1.5702685489989698
DENV2/THAILAND/2002/02678/02,1.5365275929725355
DENV1/THAILAND/2012/00829/12,1.5282886794506334
DENV4/THAILAND/2010/01270/10,1.5181508964091501
DENV2/THAILAND/2010/00791/10,1.511238799440932
DENV1/THAILAND/1996/00942/96,1.5098327100553581
DENV2/THAILAND/2005/01574/05,1.5014097007262601
DENV3/THAILAND/1995/01658/95,1.498638601992101
DENV3/THAILAND/2006/02121/06,1.4964222967849399
DENV4/THAILAND/2011/00251/11,1.4760450104901552
DENV2/THAILAND/2006/00127/06,1.4594254504930166
DENV4/THAILAND/2013/01012/13,1.4505209202094853
DENV3/THAILAND/2010/01601/10,1.4403494013592086
DENV2/THAILAND/1998/06160/98,1.424543828583376
DENV3/THAILAND/2010/01575/10,1.4036603392705829
DENV3/THAILAND/2000/02080/00,1.3998751607835143
DENV2/THAILAND/2006/00444/06,1.3914177339910674
DENV3/THAILAND/2011/00323/11,1.3840940671078852
DENV3/THAILAND/2006/01375/06,1.3828954850250754
DENV2/THAILAND/1995/00976/95,1.3729945937474657
DENV3/THAILAND/2002/00767/02,1.3724802110558445
DENV4/THAILAND/2010/00249/10,1.3705886731201893
DENV4/THAILAND/2012/00637/12,1.348160996161428
DENV2/THAILAND/1996/00024/96,1.3404451548940108
DENV4/THAILAND/2010/01677/10,1.3226272963131993
DENV1/THAILAND/1994/00532/94,1.3101746387369266
DENV4/THAILAND/2001/05386/01,1.3072881590606464
DENV3/THAILAND/1994/00128/94,1.287725357602836
DENV2/THAILAND/2007/02071/07,1.2851021018339568
DENV3/THAILAND/2000/02242/00,1.2841574986647581
DENV2/THAILAND/2012/01090/12,1.2834844363663784
DENV1/THAILAND/2012/01133/12,1.2769947326634608
DENV3/THAILAND/2009/01231/09,1.2357120868798992
DENV2/THAILAND/2001/03693/01,1.2300416969246657
DENV2/THAILAND/2000/05529/00,1.229649144388843
DENV1/THAILAND/2011/00330/11,1.224919540685628
DENV1/THAILAND/2004/00088/04,1.2194655111978143
DENV4/THAILAND/2008/00471/08,1.2162142393346196
DENV1/THAILAND/2004/01420/04,1.2122877758846196
DENV2/THAILAND/2013/00696/13,1.2083106376461095
DENV2/THAILAND/2002/01050/02,1.2079215902013334
DENV1/THAILAND/1998/00141/98,1.198495022715876
DENV1/THAILAND/2014/00444/14,1.186792804823474
DENV1/THAILAND/2004/00975/04,1.1822907231758983
DENV4/THAILAND/2006/00356/06,1.1812369222765853
DENV3/THAILAND/2006/01128/06,1.1600708725463602
DENV4/THAILAND/2001/04134/01,1.153083370629357
DENV2/THAILAND/2004/00159/04,1.1502478358314812
DENV4/THAILAND/2006/01881/06,1.147457002535819
DENV2/THAILAND/2010/01549/10,1.147063581548218
DENV4/THAILAND/2010/00780/10,1.1444194903064377
DENV1/THAILAND/2006/01448/06,1.1371860757652574
DENV2/THAILAND/1994/00327/94,1.1357416868906116
DENV4/THAILAND/2013/00691/13,1.128624034331493
DENV3/THAILAND/1995/00247/95,1.1284869519728238
DENV2/THAILAND/2011/00322/11,1.1229165914499473
DENV3/THAILAND/2011/01278/11,1.1210955768550226
DENV3/THAILAND/2011/01035/11,1.1146541534358965
DENV1/THAILAND/2007/01479/07,1.109854133133884
DENV2/THAILAND/1996/02561/96,1.0918662043002223
DENV1/THAILAND/2006/02509/06,1.0890476739562873
DENV2/THAILAND/1996/01163/96,1.0886190730376697
DENV4/THAILAND/2009/01432/09,1.0811952941708265
DENV2/THAILAND/1994/00523/94,1.0778376406297068
DENV3/THAILAND/1998/00596/98,1.0603578206529614
DENV2/THAILAND/2000/05512/00,1.0482555642380642
DENV3/THAILAND/2002/02173/02,1.0306933802334077
DENV4/THAILAND/2007/00504/07,1.0254599342411144
DENV1/THAILAND/2006/00371/06,1.0240857566804813
DENV3/THAILAND/2000/05443/00,1.0236145080906551
DENV2/THAILAND/2005/01495/05,1.0228686649571188
DENV3/THAILAND/2004/01144/04,1.0171473279274459
DENV3/THAILAND/2006/02784/06,0.9990454130843017
DENV4/THAILAND/2006/02540/06,0.992816216791169
DENV4/THAILAND/1995/00036/95,0.9863343285468291
DENV2/THAILAND/2000/01754/00,0.9839651778359049
DENV1/THAILAND/2006/00113/06,0.9738072994304044
DENV1/THAILAND/1997/02588/97,0.9699252563158295
DENV3/THAILAND/2002/00145/02,0.9664483631548754
DENV4/THAILAND/2007/01101/07,0.9632658978943912
DENV2/THAILAND/1998/00309/98,0.9557083603932098
DENV2/THAILAND/1995/00775/95,0.9492608031735177
DENV1/THAILAND/1997/02080/97,0.9414001929940186
DENV1/THAILAND/1995/00410/95,0.9378700340880703
DENV4/THAILAND/2007/02392/07,0.9365584046710315
DENV2/THAILAND/2013/00058/13,0.9339770578511666
DENV2/THAILAND/2014/00740/14,0.9329449725255767
DENV1/THAILAND/2005/00743/05,0.9300477642037821
DENV4/THAILAND/2007/01991/07,0.9212783444453946
DENV3/THAILAND/2001/03291/01,0.9196657321652862
DENV1/THAILAND/2014/00485/14,0.911204859618913
DENV4/THAILAND/2012/01104/12,0.9035300928024098
DENV2/THAILAND/1995/01800/95,0.8976056984159367
DENV1/THAILAND/2013/00297/13,0.8934018440495198
DENV1/THAILAND/2006/02193/06,0.8914939303185575
DENV3/THAILAND/2002/00104/02,0.886033174409641
DENV3/THAILAND/2000/05499/00,0.8786871149077718
DENV3/THAILAND/2001/06503/01,0.8783614805943906
DENV4/THAILAND/2001/04094/01,0.8762212416965306
DENV2/THAILAND/1998/04648/98,0.8733043440439884
DENV2/THAILAND/2002/00060/02,0.8677164668448133
DENV1/THAILAND/2006/01170/06,0.8543760823505144
DENV1/THAILAND/2005/01040/05,0.845547957937762
DENV2/THAILAND/2000/06013/00,0.8168716654357433
DENV4/THAILAND/1999/04390/99,0.8065962657229198
DENV3/THAILAND/2008/01398/08,0.803571576100547
DENV2/THAILAND/2010/01066/10,0.7985025419429495
