virus,avidity
DENV4/THAILAND/2000/02021/00,2.4778394499771563
DENV1/THAILAND/2001/04774/01,2.3554025008692907
DENV2/THAILAND/2006/02337/06,2.290269023815408
DENV2/THAILAND/2001/03244/01,2.1510882877007504
DENV2/THAILAND/2007/00511/07,2.1245985479597107
DENV1/THAILAND/2013/00485/13,1.981690269777306
DENV4/THAILAND/1999/05538/99,1.968803731289491
DENV4/THAILAND/2009/01559/09,1.9614330134950926
DENV2/THAILAND/2004/00617/04,1.9285341903583995
DENV1/THAILAND/2014/00725/14,1.8697314841072823
DENV1/THAILAND/1998/06810/98,1.8374599529179563
DENV1/THAILAND/2006/02340/06,1.8241530525047795
DENV1/THAILAND/2010/01327/10,1.808036383321893
DENV1/THAILAND/2011/01450/11,1.8037479984365992
DENV1/THAILAND/1999/03739/99,1.7968329654239175
DENV2/THAILAND/2012/01113/12,1.7850433922163162
DENV3/THAILAND/1995/00780/95,1.7658033427553936
DENV4/THAILAND/2011/00257/11,1.7495426930424935
DENV3/THAILAND/1995/01658/95,1.7369072343843492
DENV1/THAILAND/2011/01392/11,1.7167089986764417
DENV2/THAILAND/1994/01414/94,1.6991190541909567
DENV1/THAILAND/2010/00792/10,1.697133521393305
DENV2/THAILAND/2002/02934/02,1.6801730411848692
DENV3/THAILAND/2010/01601/10,1.6789828282703867
DENV4/THAILAND/2014/00214/14,1.6785611075147306
DENV4/THAILAND/2002/01222/02,1.6495759888991284
DENV1/THAILAND/2006/01932/06,1.6473943421305086
DENV1/THAILAND/2013/00343/13,1.6408085286005376
DENV2/THAILAND/2000/05855/00,1.6263135331459755
DENV1/THAILAND/2010/01518/10,1.6220303815899926
DENV4/THAILAND/2010/01270/10,1.599250179872577
DENV2/THAILAND/2005/01574/05,1.565605197188983
DENV3/THAILAND/2010/01575/10,1.5594169250970675
DENV1/THAILAND/2011/00577/11,1.5544542883408459
DENV1/THAILAND/2012/00829/12,1.5542660079141641
DENV2/THAILAND/2002/02678/02,1.533628887169383
DENV3/THAILAND/2002/00767/02,1.5218959640670489
DENV2/THAILAND/2010/00791/10,1.515459686429766
DENV2/THAILAND/2006/00127/06,1.5147444893883109
DENV1/THAILAND/1996/00942/96,1.5018618760041889
DENV4/THAILAND/2011/00251/11,1.4873390799283408
DENV4/THAILAND/2010/00249/10,1.4871376732244235
DENV4/THAILAND/2013/01012/13,1.4806720452790207
DENV3/THAILAND/2006/02121/06,1.47325753705458
DENV3/THAILAND/2009/01231/09,1.4641731957412436
DENV2/THAILAND/1998/06160/98,1.441586234176056
DENV3/THAILAND/2000/02080/00,1.4304419637161017
DENV2/THAILAND/1995/00976/95,1.4250833829343084
DENV2/THAILAND/2006/00444/06,1.4203135001873939
DENV4/THAILAND/2001/05386/01,1.4038108862113017
DENV3/THAILAND/2011/00323/11,1.382912225620214
DENV1/THAILAND/1994/00532/94,1.3784304859516483
DENV2/THAILAND/1996/00024/96,1.377158817935954
DENV3/THAILAND/2011/01278/11,1.3739922487761433
DENV3/THAILAND/2006/01375/06,1.3679156174062557
DENV4/THAILAND/2010/01677/10,1.3645984448648805
DENV4/THAILAND/2012/00637/12,1.3561613273254756
DENV3/THAILAND/2000/02242/00,1.3256798144228752
DENV2/THAILAND/2007/02071/07,1.3139978629264806
DENV1/THAILAND/2004/00088/04,1.306151501594114
DENV3/THAILAND/1994/00128/94,1.3028191147855144
DENV4/THAILAND/2008/00471/08,1.3010736074791522
DENV1/THAILAND/2011/00330/11,1.2874068236983636
DENV1/THAILAND/2012/01133/12,1.285906321183243
DENV1/THAILAND/2004/01420/04,1.2842926177516965
DENV3/THAILAND/2006/01128/06,1.2840407290859872
DENV3/THAILAND/1995/00247/95,1.2787263790522103
DENV2/THAILAND/2012/01090/12,1.2665789692915415
DENV2/THAILAND/2001/03693/01,1.2661082125699865
DENV4/THAILAND/2006/00356/06,1.2596406328305645
DENV3/THAILAND/2011/01035/11,1.2497995753319804
DENV1/THAILAND/2014/00444/14,1.2494278435456898
DENV2/THAILAND/2002/01050/02,1.2451553942653941
DENV2/THAILAND/2000/05529/00,1.2425704261677941
DENV1/THAILAND/1998/00141/98,1.2357450165011337
DENV4/THAILAND/1995/00036/95,1.2224135419109958
DENV1/THAILAND/2004/00975/04,1.2025889036034523
DENV2/THAILAND/2013/00696/13,1.1933328451620644
DENV4/THAILAND/2001/04134/01,1.1878356191920525
DENV2/THAILAND/2004/00159/04,1.1836576140427302
DENV4/THAILAND/2010/00780/10,1.182098656627435
DENV2/THAILAND/2010/01549/10,1.1815569562750068
DENV3/THAILAND/2004/01144/04,1.1779499345526288
DENV4/THAILAND/2013/00691/13,1.1778194844868066
DENV4/THAILAND/2009/01432/09,1.1774090683428917
DENV3/THAILAND/2000/05443/00,1.1754354109912524
DENV2/THAILAND/1994/00327/94,1.1753713927791194
DENV1/THAILAND/2006/01448/06,1.1753168926434674
DENV1/THAILAND/2007/01479/07,1.1682348850300757
DENV2/THAILAND/1994/00523/94,1.1580982350199407
DENV3/THAILAND/2002/02173/02,1.1516639250380267
DENV2/THAILAND/2011/00322/11,1.1246073948823139
DENV2/THAILAND/1996/01163/96,1.116192827067586
DENV1/THAILAND/2006/02509/06,1.1161694091389818
DENV4/THAILAND/2006/01881/06,1.111757560841485
DENV2/THAILAND/1996/02561/96,1.1086006922875462
DENV2/THAILAND/2000/05512/00,1.0956288616348546
DENV3/THAILAND/2002/00145/02,1.0921850643832733
DENV3/THAILAND/1998/00596/98,1.087658381389726
DENV4/THAILAND/2007/00504/07,1.0717768112977712
